1;2009;1;1;3/29/2009
2;2009;2;2;4/5/2009
7;2009;7;5;6/7/2009
6;2009;6;6;5/24/2009
26;2008;9;9;7/6/2008
27;2008;10;10;7/20/2008
28;2008;11;11;8/3/2008
8;2009;8;9;6/21/2009
9;2009;9;20;7/12/2009
10;2009;10;11;7/26/2009
11;2009;11;12;8/23/2009
15;2009;15;22;10/4/2009
16;2009;16;18;10/18/2009
17;2009;17;24;11/1/2009
18;2008;1;1;3/16/2008
19;2008;2;2;3/23/2008
20;2008;3;3;4/6/2008
21;2008;4;4;4/27/2008
22;2008;5;5;5/11/2008
23;2008;6;6;5/25/2008
24;2008;7;7;6/8/2008
25;2008;8;8;6/22/2008
35;2008;18;18;11/2/2008
36;2007;1;1;3/18/2007
37;2007;2;2;4/8/2007
29;2008;12;12;8/24/2008
30;2008;13;13;9/7/2008
105;2004;16;17;9/26/2004
103;2004;14;13;8/29/2004
106;2004;17;22;10/10/2004
107;2004;18;18;10/24/2004
3;2009;3;17;4/19/2009
4;2009;4;3;4/26/2009
5;2009;5;4;5/10/2009
31;2008;14;14;9/14/2008
32;2008;15;15;9/28/2008
33;2008;16;16;10/12/2008
34;2008;17;17;10/19/2008
40;2007;5;6;5/27/2007
41;2007;6;7;6/10/2007
38;2007;3;3;4/15/2007
39;2007;4;4;5/13/2007
45;2007;10;20;7/22/2007
46;2007;11;11;8/5/2007
47;2007;12;5;8/26/2007
42;2007;7;19;6/17/2007
43;2007;8;8;7/1/2007
44;2007;9;9;7/8/2007
50;2007;15;16;9/30/2007
51;2007;16;17;10/7/2007
52;2007;17;18;10/21/2007
48;2007;13;14;9/9/2007
49;2007;14;13;9/16/2007
56;2006;4;21;4/23/2006
57;2006;5;20;5/7/2006
53;2006;1;3;3/12/2006
54;2006;2;2;3/19/2006
55;2006;3;1;4/2/2006
62;2006;10;19;7/2/2006
63;2006;11;8;7/16/2006
58;2006;6;4;5/14/2006
59;2006;7;6;5/28/2006
60;2006;8;9;6/11/2006
61;2006;9;7;6/25/2006
67;2006;15;14;9/10/2006
68;2006;16;17;10/1/2006
69;2006;17;22;10/8/2006
70;2006;18;18;10/22/2006
64;2006;12;10;7/30/2006
65;2006;13;11;8/6/2006
66;2006;14;5;8/27/2006
74;2005;4;21;4/24/2005
75;2005;5;4;5/8/2005
76;2005;6;6;5/22/2005
71;2005;1;1;3/6/2005
72;2005;2;2;3/20/2005
73;2005;3;3;4/3/2005
80;2005;10;8;7/3/2005
81;2005;11;9;7/10/2005
82;2005;12;10;7/24/2005
77;2005;7;20;5/29/2005
78;2005;8;7;6/12/2005
79;2005;9;19;6/19/2005
86;2005;16;13;9/11/2005
87;2005;17;18;9/25/2005
88;2005;18;22;10/9/2005
83;2005;13;11;7/31/2005
84;2005;14;5;8/21/2005
85;2005;15;14;9/4/2005
90;2004;1;1;3/7/2004
91;2004;2;2;3/21/2004
92;2004;3;3;4/4/2004
93;2004;4;21;4/25/2004
89;2005;19;17;10/16/2005
99;2004;10;8;7/4/2004
100;2004;11;9;7/11/2004
101;2004;12;10;7/25/2004
102;2004;13;11;8/15/2004
94;2004;5;4;5/9/2004
95;2004;6;6;5/23/2004
96;2004;7;20;5/30/2004
97;2004;8;7;6/13/2004
98;2004;9;19;6/20/2004
104;2004;15;14;9/12/2004
12;2009;12;13;8/30/2009
13;2009;13;14;9/13/2009
14;2009;14;15;9/27/2009
